ID	MIX_A	MIX_B	MIX_C
S1080_ML_001_A	0.000244	0.000244	1
S1081_ML_002_A	0.000488	0.000031	1
S1082_ML_003_A	0.001953	0.000977	1
S1083_ML_004_A	0.000977	0.007813	1
S1091_MG_005_A	0.000244	0.000244	1
S1084_ML_005_A	0.015625	0.015625	1
S1092_MG_006_A	1	1	0.007813
S1093_MG_007_A	0.03125	1	0.015625
S1094_MG_008_A	0.125	0.125	0.0625
S1095_MG_009_A	0.25	0.007813	0.25
S1096_MG_010_A	0.5	0.5	0.5
S1097_MG_011_A	0.000031	0.000031	0.0625
S1098_MG_012_A	0.015625	0.25	0.5
S1099_MG_013_A	0.03125	0.0625	0.125
S1100_MG_014_A	1	0.5	0.25
S1101_MG_015_A	0.007813	0.003906	0.5
S1102_MG_016_A	0.25	0.0625	0.125
S1103_MG_017_A	0.000061	0.000061	0.25
S1104_MG_018_A	0.000977	0.000031	0.015625
S1105_MG_019_A	0.5	0.5	0.0625
S1106_MG_020_A	0.007813	0.25	0.125
S1107_MG_021_A	0.125	0.25	0.25
S1108_MG_022_A	0.03125	0.03125	0.5
S1109_MG_023_A	0.0625	0.5	0.007813
S1110_MG_024_A	0.003906	0.0625	1
S1111_MG_025_A	0.5	0.125	0.03125
S1085_ML_006_A	0.003906	0.000488	1
S1086_ML_007_A	0.000122	0.000122	1
S1112_MG_026_A	0.000977	0.000977	0.03125
S1113_MG_027_A	0.003906	0.003906	0.0625
S1114_MG_028_A	0.015625	0.125	0.007813
S1138_MG_049_A	0.000122	0.000122	NA
S1139_MG_050_A	0.007813	0.000244	NA
S1140_MG_051_A	0.03125	0.0625	NA
S1141_MG_052_A	0.25	0.25	NA
S1142_MG_053_A	0.000061	0.000244	NA
S1143_MG_054_A	0.000244	0.000061	NA
S1144_MG_055_A	0.007813	0.007813	NA
S1145_MG_056_A	0.015625	0.015625	NA
S1146_MG_057_A	0.001953	0.001953	NA
S1147_MG_058_A	0.0625	0.0625	NA
S1148_MG_059_A	0.003906	0.003906	NA
S1149_MG_060_A	0.125	0.125	NA
S1150_MG_061_A	0.000977	0.000977	NA
S1151_MG_062_A	0.003906	0.003906	NA
S1152_MG_063_A	0.125	0.5	NA
S1153_MG_064_A	0.000244	0.000122	NA
S1154_MG_065_A	0.000061	0.000061	NA
S1155_MG_066_A	1	0.03125	NA
S1115_MG_029_A	0.015625	0.000977	0.03125
S1116_MG_030_A	0.125	0.015625	0.015625
S1117_MG_031_A	0.000031	0.000122	1
S1118_MG_032_A	0.000488	0.015625	1
S1119_MG_033_A	0.000244	0.000244	NA
S1120_MG_034_A	0.001953	0.000488	0.25
S1121_MG_035_A	0.0625	0.0625	0.125
S1122_MG_036_A	1	1	0.0625
S1123_MG_037_A	0.000122	0.003906	0.03125
S1124_MG_038_A	0.000122	0.000031	0.015625
S1125_MG_039_A	1	0.125	0.007813
S1126_MG_040_A	0.001953	0.001953	1
S1127_MG_041_A	0.5	0.03125	0.5
S1128_MG_042_A	0.007813	0.007813	0.25
S1129_MG_043_A	0.25	0.25	0.125
S1130_MG_044_A	0.000031	0.000031	0.0625
S1131_MG_045_A	0.25	1	0.03125
S1132_MG_046_A	0.000061	0.000122	0.015625
S1133_MG_047_A	0.000488	0.000488	0.007813
S1134_MG_048_A	0.0625	0.001953	1
S1156_MG_067_A	0.000488	0.000488	NA
S1157_MG_068_A	0.000122	0.001953	NA
S1158_MG_069_A	0.003906	0.03125	NA
S1159_MG_070_A	0.000031	0.000061	NA
S1160_MG_071_A	0.000977	0.015625	NA
S1161_MG_072_A	0.03125	0.03125	NA
S1162_MG_073_A	0.015625	0.001953	NA
S1087_MG_001_A	0.000061	0.000488	1
S1163_MG_074_A	0.5	0.25	NA
S1088_MG_002_A	0.25	0.015625	0.0156
S1089_MG_003_A	0.0625	0.003906	0.125
S1164_MG_075_A	0.000031	0.000977	NA
S1165_MG_076_A	0.000488	0.000061	NA
S1166_MG_077_A	0.0625	1	NA
S1167_MG_078_A	0.007813	0.007813	NA
S1168_MG_079_A	0.001953	0.007813	NA
S1090_MG_004_A	0.03125	0.03125	0.0313
S1137_UQ_002_A	NA	NA	1
S1054_GC_001_A	NA	NA	1
S1055_GC_002_A	NA	NA	1
S1056_GC_003_A	NA	NA	1
S1057_GC_004_A	NA	NA	1
S1058_GC_005_A	NA	NA	1
S1059_GC_006_A	NA	NA	1
S1135_IF_003_A	NA	NA	1
S1060_MR_001_A	NA	NA	0.125
S1061_MR_002_A	NA	NA	0.5
S1062_MR_003_A	NA	NA	1
S1063_MR_004_A	NA	NA	0.5
S1064_MR_005_A	NA	NA	0.0625
S1065_MR_006_A	NA	NA	0.5
S1066_MR_007_A	NA	NA	0.25
S1067_MR_008_A	NA	NA	0.125
S1068_MR_009_A	NA	NA	0.25
S1069_MR_010_A	NA	NA	0.5
S1070_MR_011_A	NA	NA	0.125
S1071_MR_012_A	NA	NA	1
S1072_MR_013_A	NA	NA	0.0625
S1073_MR_014_A	NA	NA	0.0625
S1074_MR_015_A	NA	NA	1
S1075_MR_016_A	NA	NA	1
S1076_MR_017_A	NA	NA	0.125
S1077_MR_018_A	NA	NA	0.25
S1078_MR_019_A	NA	NA	0.0625
S1079_MR_020_A	NA	NA	0.25
S1136_UQ_001_A	NA	NA	1
